TERMINAL;TIPO;NOMBRE;DEPARTAMENTO;UBICACIÓN;DIRECCION
AT01;DEPOSITARIO;OFICINA PRINCIPAL;SV-SS;OFICINA;SAN SALVADOR
AT02;DEPOSITARIO;METROCENTRO;SV-SS;CENTRO COMERCIAL;SAN SALVADOR
AT03;NORMAL;GASOLINERA AHUACHAPÁN;SV-AH;GASOLINERA;AHUACHAPÁN
AT04;NORMAL;SUPERMERCADO SENSUNTEPEQUE;SV-CA;SUPERMERCADO;SENSUNTEPEQUE
AT05;NORMAL;FARMACIA CHALATENANGO;SV-CH;FARMACIA;CHALATENANGO
AT06;NORMAL;CENTRO COMERCIAL COJUTEPEQUE;SV-CU;CENTRO COMERCIAL;COJUTEPEQUE
AT07;NORMAL;GASOLINERA SANTA TECLA;SV-LI;GASOLINERA;SANTA TECLA
AT08;NORMAL;SUPERMERCADO SAN FRANCISCO GOTERA;SV-MO;SUPERMERCADO;SAN FRANCISCO GOTERA
AT09;NORMAL;FARMACIA ZACATECOLUCA;SV-PA;FARMACIA;ZACATECOLUCA
AT10;NORMAL;CENTRO COMERCIAL SANTA ANA;SV-SA;CENTRO COMERCIAL;SANTA ANA
AT11;NORMAL;GASOLINERA SAN MIGUEL;SV-SM;GASOLINERA;SAN MIGUEL
AT12;NORMAL;SUPERMERCADO SAN SALVADOR;SV-SS;SUPERMERCADO;SAN SALVADOR
AT13;NORMAL;FARMACIA SAN VICENTE;SV-SV;FARMACIA;SAN VICENTE
AT14;NORMAL;CENTRO COMERCIAL SONSONATE;SV-SO;CENTRO COMERCIAL;SONSONATE
AT15;NORMAL;GASOLINERA LA UNIÓN;SV-UN;GASOLINERA;LA UNIÓN
AT16;NORMAL;SUPERMERCADO USULUTÁN;SV-US;SUPERMERCADO;USULUTÁN
AT17;NORMAL;FARMACIA AHUACHAPÁN;SV-AH;FARMACIA;AHUACHAPÁN
AT18;NORMAL;CENTRO COMERCIAL SENSUNTEPEQUE;SV-CA;CENTRO COMERCIAL;SENSUNTEPEQUE
AT19;NORMAL;GASOLINERA CHALATENANGO;SV-CH;GASOLINERA;CHALATENANGO
AT20;NORMAL;SUPERMERCADO COJUTEPEQUE;SV-CU;SUPERMERCADO;COJUTEPEQUE
AT21;NORMAL;FARMACIA SANTA TECLA;SV-LI;FARMACIA;SANTA TECLA
AT22;DEPOSITARIO;CENTRO COMERCIAL SAN MIGUEL;SV-SM;CENTRO COMERCIAL;SAN MIGUEL
AT23;NORMAL;GASOLINERA SAN SALVADOR;SV-SS;GASOLINERA;SAN SALVADOR
AT24;NORMAL;SUPERMERCADO SAN VICENTE;SV-SV;SUPERMERCADO;SAN VICENTE
AT25;NORMAL;FARMACIA SONSONATE;SV-SO;FARMACIA;SONSONATE
