BIN;BANCO;TIPO;CLASIFICACION
400001;NUESTRO BANCO;CREDITO;CLASICA
400002;NUESTRO BANCO;CREDITO;DORADA
400003;NUESTRO BANCO;CREDITO;PLATINUM
400004;NUESTRO BANCO;CREDITO;BLACK
401001;NUESTRO BANCO;DEBITO;CLASICA
401002;NUESTRO BANCO;DEBITO;PLATINUM
410001;BANCO UNO;CREDITO;CLASICA
410002;BANCO UNO;CREDITO;DORADA
410003;BANCO UNO;CREDITO;PLATINUM
420001;BANCO DOS;CREDITO;CLASICA
420002;BANCO DOS;CREDITO;DORADA
420003;BANCO DOS;DEBITO;CLASICA
420004;BANCO DOS;DEBITO;CLASICA
430001;BANCO TRES;CREDITO;CLASICA
430002;BANCO TRES;CREDITO;DORADA
430003;BANCO TRES;CREDITO;PLATINUM
430004;BANCO TRES;CREDITO;BLACK
430005;BANCO TRES;DEBITO;CLASICA
430006;BANCO TRES;DEBITO;PLATINUM
