"SeriesCode","Year","DESCRIPTION",
"SP.ADO.TFRT","YR1990","Interpolated using data for 1987 and 1992.",
"SP.ADO.TFRT","YR1991","Interpolated using data for 1987 and 1992.",
"SP.ADO.TFRT","YR1992","The data refer to 1990-1995.",
"SP.ADO.TFRT","YR1993","Interpolated using data for 1992 and 1997.",
"SP.ADO.TFRT","YR1994","Interpolated using data for 1992 and 1997.",
"SP.ADO.TFRT","YR1995","Interpolated using data for 1992 and 1997.",
"SP.ADO.TFRT","YR1996","Interpolated using data for 1992 and 1997.",
"SP.ADO.TFRT","YR1997","The data refer to 1995-2000.",
"SP.ADO.TFRT","YR1998","Interpolated using data for 1997 and 2002.",
"SP.ADO.TFRT","YR1999","Interpolated using data for 1997 and 2002.",
"SP.ADO.TFRT","YR2000","Interpolated using data for 1997 and 2002.",
"SP.ADO.TFRT","YR2001","Interpolated using data for 1997 and 2002.",
"SP.ADO.TFRT","YR2002","The data refer to 2000-2005.",
"SP.ADO.TFRT","YR2003","Interpolated using data for 2002 and 2007.",
"SP.ADO.TFRT","YR2004","Interpolated using data for 2002 and 2007.",
"SP.ADO.TFRT","YR2005","Interpolated using data for 2002 and 2007.",
"SP.ADO.TFRT","YR2006","Interpolated using data for 2002 and 2007.",
"SH.STA.MALR","YR2006","Source: WHO Global Health Observatory Data Repository",
"SH.STA.MALR","YR2007","Source: WHO Global Health Observatory Data Repository",
"SP.ADO.TFRT","YR2007","The data refer to 2005-2010.",
"SP.ADO.TFRT","YR2008","Interpolated using data for 2007 and 2012.",
"SH.STA.MALR","YR2008","Source: WHO Global Health Observatory Data Repository",
"SH.STA.MALR","YR2009","Source: WHO Global Health Observatory Data Repository",
"SP.ADO.TFRT","YR2009","Interpolated using data for 2007 and 2012.",
"SP.ADO.TFRT","YR2010","Interpolated using data for 2007 and 2012.",
"SH.STA.MALR","YR2010","Source: WHO Global Health Observatory Data Repository",
"SH.STA.MALR","YR2011","Source: WHO Global Health Observatory Data Repository",
"SP.ADO.TFRT","YR2011","Interpolated using data for 2007 and 2012.",
"SP.ADO.TFRT","YR2012","The data refer to 2010-2015.",
"SH.STA.MALR","YR2012","Source: WHO ""World Malaria Report 2013""",
"SP.ADO.TFRT","YR2013","Interpolated using data for 2012 and 2017.",
"SP.ADO.TFRT","YR2014","Interpolated using data for 2012 and 2017.",
