Rooms,Type,Price,Method,Distance,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Lattitude,Longtitude
2,h,1480000.0,S,2.5,2.0,1.0,1.0,202.0,,,-37.7996,144.9984
2,h,1035000.0,S,2.5,2.0,1.0,0.0,156.0,79.0,1900.0,-37.8079,144.9934
3,h,1465000.0,SP,2.5,3.0,2.0,0.0,134.0,150.0,1900.0,-37.8093,144.9944
3,h,850000.0,PI,2.5,3.0,2.0,1.0,94.0,,,-37.7969,144.9969
4,h,1600000.0,VB,2.5,3.0,1.0,2.0,120.0,142.0,2014.0,-37.8072,144.9941
2,h,941000.0,S,2.5,2.0,1.0,0.0,181.0,,,-37.8041,144.9953
3,h,1876000.0,S,2.5,4.0,2.0,0.0,245.0,210.0,1910.0,-37.8024,144.9993
2,h,1636000.0,S,2.5,2.0,1.0,2.0,256.0,107.0,1890.0,-37.806,144.9954
1,u,300000.0,S,2.5,1.0,1.0,1.0,0.0,,,-37.8008,144.9973
2,h,1097000.0,S,2.5,3.0,1.0,2.0,220.0,75.0,1900.0,-37.801,144.9989
2,u,700000.0,VB,2.5,2.0,2.0,1.0,0.0,,,-37.811,145.0067
3,h,1350000.0,VB,2.5,3.0,2.0,2.0,214.0,190.0,2005.0,-37.8085,144.9964
2,u,750000.0,S,2.5,2.0,2.0,1.0,0.0,94.0,2009.0,-37.8078,144.9965
2,h,1172500.0,S,2.5,2.0,1.0,1.0,195.0,,,-37.8084,144.9973
1,u,441000.0,SP,2.5,1.0,1.0,1.0,0.0,,,-37.8016,144.9988
2,h,1310000.0,S,2.5,2.0,1.0,2.0,238.0,97.0,1890.0,-37.809,144.9976
3,h,1200000.0,S,2.5,3.0,2.0,1.0,113.0,110.0,1880.0,-37.8056,144.993
3,h,1176500.0,S,2.5,2.0,1.0,1.0,138.0,105.0,1890.0,-37.8021,144.9965
3,h,955000.0,S,2.5,3.0,1.0,0.0,183.0,,,-37.8022,144.9975
2,h,890000.0,S,2.5,2.0,1.0,1.0,150.0,73.0,1985.0,-37.8011,145.0004
4,h,1330000.0,PI,2.5,4.0,2.0,2.0,780.0,135.0,1900.0,-37.8073,144.9952
3,t,900000.0,S,2.5,3.0,2.0,2.0,0.0,,2010.0,-37.8093,144.9959
3,u,1090000.0,S,2.5,3.0,2.0,2.0,4290.0,27.0,,-37.8078,144.9965
2,u,500000.0,S,2.5,2.0,1.0,1.0,0.0,60.0,1970.0,-37.8015,144.9972
2,h,1100000.0,PI,2.5,2.0,2.0,1.0,124.0,135.0,2013.0,-37.8079,144.9977
2,h,1315000.0,S,2.5,2.0,1.0,0.0,147.0,85.0,1900.0,-37.808,144.994
1,u,426000.0,SP,2.5,1.0,1.0,1.0,0.0,,,-37.8016,144.9988
3,h,1447500.0,PI,2.5,3.0,3.0,1.0,166.0,174.0,2012.0,-37.8017,145.0001
1,u,457000.0,S,2.5,1.0,1.0,1.0,0.0,50.0,,-37.8078,144.9965
2,h,1135000.0,S,2.5,2.0,2.0,2.0,98.0,128.0,1920.0,-37.8005,144.9952
4,h,1542000.0,S,2.5,4.0,3.0,1.0,0.0,,,-37.7994,144.9965
3,h,1290000.0,S,2.5,3.0,2.0,2.0,147.0,18.0,,-37.805,144.9943
3,h,1290000.0,S,2.5,3.0,1.0,1.0,168.0,124.0,1950.0,-37.8007,144.9958
1,u,470000.0,S,2.5,1.0,1.0,1.0,0.0,50.0,2013.0,-37.8055,144.9961
2,h,1180000.0,S,2.5,2.0,1.0,0.0,162.0,91.0,1900.0,-37.8016,144.9956
3,h,1195000.0,SP,2.5,3.0,2.0,1.0,120.0,128.0,1998.0,-37.8022,144.9954
2,h,1012500.0,S,2.5,2.0,1.0,0.0,182.0,82.0,1900.0,-37.8021,144.9976
2,h,1030000.0,S,2.5,2.0,1.0,1.0,172.0,81.0,1930.0,-37.8086,144.9946
3,t,840000.0,PI,13.5,3.0,2.0,1.0,303.0,225.0,2016.0,-37.718,144.878
3,h,730000.0,VB,13.5,3.0,2.0,1.0,0.0,145.0,1965.0,-37.7203,144.8755
3,h,770000.0,SP,13.5,3.0,2.0,1.0,0.0,145.0,1965.0,-37.7203,144.8755
2,h,603000.0,S,13.5,2.0,1.0,1.0,272.0,84.0,1950.0,-37.7294,144.888
3,t,700000.0,S,13.5,3.0,2.0,2.0,239.0,134.0,2009.0,-37.7218,144.8837
3,h,600000.0,S,13.5,2.0,1.0,1.0,290.0,116.0,1980.0,-37.7273,144.8744
2,u,500000.0,VB,13.5,2.0,1.0,1.0,168.0,86.0,2011.0,-37.7215,144.8864
3,h,720000.0,S,13.5,2.0,1.0,1.0,620.0,,,-37.7173,144.8872
4,h,785000.0,S,13.5,3.0,1.0,2.0,597.0,127.0,,-37.7259,144.8792
6,h,725000.0,SP,13.5,6.0,3.0,2.0,976.0,186.0,1980.0,-37.7239,144.8735
2,t,450000.0,S,13.5,2.0,1.0,1.0,110.0,90.0,2015.0,-37.7216,144.871
2,u,515000.0,S,13.5,2.0,1.0,1.0,141.0,73.0,2013.0,-37.7298,144.8883
2,u,530000.0,S,13.5,2.0,1.0,1.0,120.0,94.0,2012.0,-37.7234,144.8792
3,h,895000.0,PI,13.5,3.0,1.0,6.0,1063.0,133.0,1975.0,-37.7249,144.8728
3,h,805000.0,S,13.5,3.0,1.0,1.0,0.0,105.0,1950.0,-37.7217,144.8783
3,u,752000.0,S,13.5,3.0,1.0,1.0,265.0,130.0,1993.0,-37.7302,144.8855
2,u,440000.0,S,13.5,2.0,1.0,1.0,192.0,,,-37.7177,144.8787
5,h,755000.0,PI,13.5,3.0,2.0,2.0,596.0,,,-37.7248,144.8699
3,t,700000.0,PI,13.5,3.0,2.0,2.0,165.0,133.0,2009.0,-37.727,144.887
3,h,830000.0,S,13.5,3.0,1.0,2.0,971.0,113.0,1960.0,-37.7186,144.876
2,u,462500.0,S,13.5,2.0,1.0,1.0,164.0,,2003.0,-37.7218,144.8863
3,h,670000.0,SP,13.5,3.0,2.0,2.0,657.0,,,-37.7269,144.8742
2,h,675000.0,S,13.5,2.0,1.0,1.0,612.0,100.0,1975.0,-37.7187,144.8765
3,h,1042000.0,S,13.5,3.0,2.0,5.0,612.0,174.0,1950.0,-37.7173,144.8796
3,h,910000.0,S,13.5,3.0,1.0,1.0,775.0,,,-37.7231,144.8835
4,h,773000.0,S,13.5,5.0,3.0,4.0,531.0,309.0,1980.0,-37.7263,144.8679
3,h,810000.0,PI,13.5,3.0,3.0,2.0,555.0,192.0,1980.0,-37.7285,144.8694
3,h,715000.0,S,13.5,3.0,2.0,2.0,422.0,126.0,1995.0,-37.7164,144.8792
3,h,790000.0,S,13.5,3.0,1.0,3.0,614.0,,,-37.7194,144.8827
3,t,540000.0,SP,13.5,2.0,2.0,1.0,161.0,101.0,2010.0,-37.7231,144.8802
3,t,825000.0,SP,13.5,3.0,2.0,1.0,293.0,102.0,1960.0,-37.72,144.8776
3,h,685000.0,S,13.5,3.0,1.0,1.0,579.0,113.0,1975.0,-37.7226,144.8733
3,h,805000.0,S,13.5,3.0,1.0,1.0,623.0,,,-37.7184,144.882
2,u,510000.0,S,13.5,2.0,1.0,1.0,141.0,76.0,,-37.7202,144.8797
3,h,612000.0,S,13.5,3.0,2.0,1.0,212.0,,,-37.7181,144.8824
3,h,662000.0,S,13.5,3.0,1.0,2.0,612.0,,,-37.7169,144.8815
4,h,978000.0,S,13.5,4.0,3.0,2.0,532.0,,,-37.7263,144.869
3,h,720000.0,PI,13.5,3.0,1.0,1.0,585.0,,,-37.72,144.878
4,h,765000.0,S,13.5,4.0,1.0,2.0,509.0,,,-37.7261,144.8785
4,h,900000.0,S,13.5,4.0,2.0,3.0,628.0,146.0,1975.0,-37.7256,144.8739
2,h,1275000.0,S,3.3,2.0,1.0,0.0,120.0,82.0,1900.0,-37.8459,144.9555
2,h,1455000.0,S,3.3,2.0,1.0,0.0,159.0,,,-37.845,144.9538
3,h,2850000.0,PI,3.3,3.0,2.0,0.0,211.0,198.0,1890.0,-37.8481,144.9499
3,h,1850000.0,S,3.3,3.0,2.0,0.0,128.0,133.0,1890.0,-37.8452,144.9488
2,h,1436000.0,S,3.3,2.0,1.0,0.0,130.0,81.0,1900.0,-37.8431,144.9565
2,h,1110000.0,S,3.3,1.0,1.0,0.0,147.0,,1900.0,-37.8444,144.9484
2,h,1550000.0,S,3.3,2.0,1.0,1.0,167.0,,,-37.8405,144.9521
4,h,2300000.0,S,3.3,4.0,2.0,1.0,153.0,180.0,1880.0,-37.8447,144.9523
3,t,1550000.0,VB,3.3,3.0,2.0,2.0,718.0,,,-37.8443,144.9598
3,h,1800000.0,VB,3.3,3.0,2.0,1.0,132.0,159.0,1996.0,-37.8415,144.952
2,h,2120000.0,S,3.3,2.0,1.0,1.0,199.0,107.0,1900.0,-37.8422,144.9554
3,h,1800000.0,VB,3.3,3.0,1.0,1.0,253.0,,,-37.8443,144.9579
3,h,1800000.0,S,3.3,3.0,2.0,1.0,90.0,122.0,1900.0,-37.8421,144.9571
2,h,1810000.0,PI,3.3,2.0,1.0,0.0,240.0,,,-37.8379,144.9539
3,h,2615000.0,S,3.3,3.0,2.0,1.0,177.0,181.0,1880.0,-37.8415,144.9585
5,h,2100000.0,S,3.3,5.0,2.0,1.0,237.0,,,-37.8436,144.9557
3,h,1300000.0,S,3.3,3.0,1.0,0.0,129.0,,,-37.8422,144.94899999999996
3,h,1370000.0,S,3.3,3.0,2.0,2.0,0.0,85.0,2000.0,-37.8451,144.9511
2,h,1000000.0,S,3.3,2.0,1.0,0.0,288.0,,,-37.8407,144.9523
3,h,2575000.0,S,3.3,3.0,2.0,1.0,228.0,,,-37.8445,144.9501
2,h,1322500.0,S,3.3,2.0,1.0,0.0,149.0,98.0,1890.0,-37.8443,144.9481
2,h,1562500.0,S,3.3,2.0,1.0,0.0,141.0,83.0,1890.0,-37.8424,144.9562
3,h,2000000.0,VB,3.3,3.0,2.0,1.0,211.0,147.0,1900.0,-37.847,144.9575
3,h,1900000.0,S,3.3,3.0,1.0,0.0,209.0,,1900.0,-37.8468,144.9546
3,h,3010000.0,S,3.3,3.0,2.0,0.0,147.0,146.0,1890.0,-37.8473,144.9551
4,h,2800000.0,VB,3.3,4.0,3.0,1.0,327.0,254.0,1910.0,-37.8467,144.9475
2,u,647000.0,S,3.3,2.0,1.0,1.0,0.0,,,-37.846,144.9542
3,h,2100000.0,SP,3.3,2.0,1.0,1.0,120.0,123.0,1900.0,-37.8427,144.9546
3,h,2000000.0,PI,3.3,3.0,1.0,1.0,238.0,131.0,1890.0,-37.8461,144.9528
1,u,442500.0,S,3.3,1.0,1.0,0.0,0.0,34.0,1970.0,-37.8421,144.9517
4,h,4735000.0,S,3.3,4.0,2.0,1.0,330.0,207.0,1910.0,-37.8477,144.9558
2,h,1340000.0,S,3.3,2.0,1.0,0.0,136.0,,,-37.846,144.9517
3,h,1801000.0,S,3.3,3.0,1.0,1.0,202.0,,,-37.8429,144.9493
3,h,1532000.0,S,3.3,3.0,3.0,1.0,0.0,,,-37.8415,144.9585
3,h,3755000.0,S,3.3,3.0,2.0,2.0,325.0,,,-37.8413,144.95
4,h,2140000.0,S,3.3,3.0,2.0,1.0,183.0,145.0,1880.0,-37.8434,144.9495
2,h,1750000.0,S,3.3,2.0,1.0,1.0,162.0,,,-37.8416,144.9488
2,h,980000.0,S,3.3,2.0,1.0,0.0,79.0,68.0,1890.0,-37.8387,144.9519
3,h,2030000.0,S,3.3,3.0,2.0,0.0,152.0,,,-37.8488,144.9551
3,h,1740000.0,PI,3.3,3.0,2.0,2.0,147.0,134.0,1890.0,-37.8448,144.9453
3,h,2800000.0,VB,3.3,3.0,3.0,1.0,0.0,,,-37.8399,144.9577
1,h,985000.0,S,3.3,1.0,1.0,0.0,81.0,54.0,1900.0,-37.8411,144.9497
4,h,2000000.0,S,6.4,3.0,2.0,4.0,853.0,263.0,1930.0,-37.7707,145.0318
3,h,1110000.0,S,6.4,3.0,2.0,2.0,208.0,,2013.0,-37.7854,145.0325
3,h,1492000.0,S,6.4,3.0,2.0,2.0,411.0,,,-37.7713,145.0279
4,h,1717500.0,S,6.4,4.0,2.0,1.0,599.0,203.0,1925.0,-37.7717,145.031
5,h,2840000.0,S,6.4,5.0,4.0,4.0,809.0,165.0,1910.0,-37.775,145.0268
2,u,525500.0,S,6.4,2.0,1.0,1.0,88.0,60.0,1960.0,-37.7791,145.0306
2,t,805000.0,S,6.4,2.0,2.0,3.0,155.0,140.0,2004.0,-37.7804,145.0308
2,u,465000.0,S,6.4,2.0,1.0,1.0,0.0,,,-37.7773,145.0314
3,h,2000000.0,PI,6.4,3.0,3.0,2.0,686.0,,,-37.78,145.0341
3,h,1540000.0,S,6.4,3.0,1.0,2.0,592.0,,,-37.7755,145.0288
2,u,820000.0,S,6.4,2.0,1.0,1.0,183.0,,,-37.7747,145.0264
4,h,1830000.0,S,6.4,4.0,2.0,2.0,606.0,112.0,1970.0,-37.7743,145.0316
4,h,2100000.0,S,6.4,4.0,2.0,2.0,575.0,271.0,2008.0,-37.7723,145.0319
3,h,865000.0,SP,6.4,3.0,1.0,1.0,180.0,131.0,2010.0,-37.7802,145.0243
2,u,390000.0,VB,6.4,2.0,1.0,1.0,0.0,60.0,1960.0,-37.7773,145.0314
2,t,650000.0,SP,6.4,0.0,1.0,0.0,0.0,,,-37.7848,145.025
2,u,512000.0,S,6.4,2.0,1.0,1.0,0.0,61.0,1965.0,-37.7805,145.0262
3,h,1165000.0,S,6.4,3.0,1.0,2.0,979.0,,,-37.7792,145.029
4,h,1900000.0,SP,6.4,4.0,2.0,2.0,556.0,272.0,1930.0,-37.7844,145.0225
3,h,1485000.0,SP,6.4,3.0,0.0,0.0,597.0,,,-37.7781,145.0284
4,h,1950000.0,S,6.4,4.0,2.0,3.0,589.0,210.0,1920.0,-37.7719,145.0309
3,h,520000.0,VB,13.8,3.0,2.0,1.0,352.0,242.0,2015.0,-37.87,144.825
5,h,1525000.0,S,13.8,5.0,3.0,3.0,729.0,268.0,2005.0,-37.8721,144.8105
2,t,720000.0,S,13.8,2.0,1.0,2.0,292.0,125.0,2013.0,-37.8687,144.8197
3,h,1120000.0,S,13.8,3.0,1.0,2.0,506.0,120.0,1930.0,-37.8693,144.8375
4,h,780000.0,PI,13.8,4.0,1.0,4.0,655.0,,,-37.868,144.8154
4,h,1780000.0,SP,13.8,4.0,3.0,6.0,1057.0,220.0,1962.0,-37.8681,144.819
3,u,630000.0,S,13.8,2.0,1.0,2.0,311.0,94.0,1955.0,-37.8702,144.8143
2,u,406000.0,SP,13.8,2.0,1.0,1.0,65.0,,,-37.8693,144.8171
3,h,660000.0,VB,13.8,3.0,1.0,1.0,602.0,123.0,1955.0,-37.8616,144.8116
3,h,683500.0,S,13.8,3.0,1.0,1.0,530.0,,,-37.8594,144.817
2,u,580000.0,S,13.8,2.0,1.0,1.0,225.0,93.0,1988.0,-37.8696,144.827
3,h,1335000.0,S,13.8,3.0,1.0,4.0,777.0,22.0,1953.0,-37.8697,144.8249
3,t,800000.0,SP,13.8,3.0,2.0,2.0,280.0,,1997.0,-37.8734,144.8143
2,u,510000.0,S,13.8,2.0,1.0,1.0,127.0,76.0,1990.0,-37.8686,144.8182
4,h,1070000.0,S,13.8,4.0,2.0,2.0,695.0,,,-37.8733,144.8147
2,u,425000.0,S,13.8,2.0,1.0,2.0,115.0,57.0,1980.0,-37.871,144.8185
